Pit: Mirage 2000-D	Creator: Laurent Buzzz Buzzi	Version: 1.5	Generated by LODexporter	
AFCanopytoggle                   -1.04678 -1.036438 -1.227761    25  129   1 
AFCanopytoggle                   -0.75825 -0.979935 -1.234696    25  129   1 
AFDragChute                      -0.77357 1.034153 -1.287059    80  129   1 
AFDragChute                      -0.98677 1.039286 -1.309076    80  129   1 
SimAntiCollOn                    -0.89555 1.471924 -2.368484    35  115   1 
SimAntiCollOff                   -0.89555 1.471924 -2.368484    35  115   2 
SimAuxComBackup                  -1.18684 1.300844 -2.248587    35  115   2 
SimAuxComUFC                     -1.18657 1.300868 -2.248587    35  115   1 
SimAVTRSwitchUp                  -1.33155 -0.148500 -0.490050    20  126   1 
SimAVTRSwitchDown                -1.33155 -0.148500 -0.490050    20  126   2 
SimAVTRSwitchDown                1.03609 1.548650 -2.378784    30  126   2 
SimAVTRSwitchUp                  1.03609 1.548650 -2.378784    30  126   1 
SimBupUhfFuncInc                 -1.39630 1.343504 -2.268115    35  115   1 
SimBupUhfFuncDec                 -1.39630 1.343504 -2.268115    35  126   2 
SimCATI                          -1.66501 1.066230 -1.982153    40  115   1 
SimCATIII                        -1.66439 1.066997 -1.982038    40  115   2 
SimCycleBandAuxComDigit          -0.95418 -1.149885 -2.300207    15  125   1 w
SimCycleBandAuxComDigit          -0.95418 -1.149885 -2.300207    15  125   2 w
SimCycleCenterAuxComDigit        -0.95418 -1.085939 -2.300207    15  125   1 w
SimDecCenterAuxComDigit          -0.95418 -1.085939 -2.300207    15  125   2 w
SimCycleLeftAuxComDigit          -0.95418 -1.054169 -2.300207    15  125   1 w
SimDecLeftAuxComDigit            -0.95418 -1.054169 -2.300207    15  125   2 w
SimCycleRightAuxComDigit         -0.95418 -1.117677 -2.300207    15  125   1 w
SimDecRightAuxComDigit           -0.95418 -1.117677 -2.300207    15  125   2 w
SimDecRadioChannel               -1.29349 1.093744 -2.268115    35  125   2 w
SimCycleRadioChannel             -1.29349 1.093744 -2.268115    35  125   1 w
SimIncAirSource                  -0.22615 -1.330263 -2.306733    55  124   1 w
SimDecAirSource                  -0.22615 -1.330263 -2.306733    55  126   2 w
SimEmergencyJettison             -1.77488 1.085486 -1.641123    55  123   1 
SimEngContSec                    0.99703 1.223888 -2.357405    55  115   1 
SimEngContPri                    0.99703 1.223888 -2.357405    55  115   2 
SimEpuUp                         0.19112 -1.384655 -2.269501    35  125   1 
SimEpuDown                       0.19112 -1.384655 -2.269501    35  125   2 
SimEpuDown                       0.19112 -1.452693 -2.269501    35  125   2 
SimEpuUp                         0.19112 -1.452916 -2.269501    35  125   1 
SimWingLightOff                  -0.89555 1.342440 -2.368484    35  115   2 
SimWingLightBrt                  -0.89555 1.342440 -2.368484    35  115   1 
SimFuelDoorOpen                  -0.92092 1.110607 -2.368484    40  115   1 
SimFuelDoorClose                 -0.92092 1.110607 -2.368484    40  115   2 
SimHSIModeDec                    -1.26834 -1.053385 -2.254280    55  124   2 w
SimHSIModeInc                    -1.26834 -1.053385 -2.254280    55  124   1 w
SimHUDScalesDown                 -1.46350 0.200521 -0.826592    30  115   2 
SimHUDScalesUp                   -1.46350 0.200521 -0.826592    30  115   1 
SimHUDBrightnessDown             -1.46061 0.201807 -0.925584    35  124   2 w
SimHUDBrightnessUp               -1.46061 0.201807 -0.925584    35  124   1 w
SimHUDOn                         -1.53929 0.084399 -1.098570    25  115   1 
SimHUDOff                        -1.53929 0.084399 -1.098570    25  115   2 
SimHUDAltDown                    -1.46359 -0.207089 -0.874418    35  124   1 w
SimHUDAltUp                      -1.46359 -0.207089 -0.874418    35  124   2 w
SimHUDVelocityUp                 -1.46730 -0.130230 -0.803764    30  115   1 
SimHUDVelocityDown               -1.46730 -0.130230 -0.803764    30  115   2 
SimICPALOW                       -1.41203 -1.409059 -2.277000    20  126   1 
SimICPCLEAR                      -1.14971 -1.495733 -2.287882    25  122   1 
SimICPCom1                       -1.41900 -1.046925 -2.277000    20  126   1 
SimICPCom2                       -1.41900 -1.219350 -2.277000    20  126   1 
SimICPCrus                       -1.32186 -1.406790 -2.280350    20  126   1 
SimICPDEDDOWN                    -1.23337 -1.245750 -2.285440    20  126   1 
SimICPDEDSEQ                     -1.15325 -1.239579 -2.287882    20  124   1 
SimICPDEDUP                      -1.31010 -1.244100 -2.282618    20  126   1 
SimICPEIGHT                      -1.23337 -1.405569 -2.285440    20  126   1 
SimICPEnter                      -1.15426 -1.337193 -2.287882    25  122   1 
SimICPLIST                       -1.41900 -1.134375 -2.277000    20  126   1 
SimICPMark                       -1.23337 -1.331319 -2.285440    20  126   1 
SimICPNINE                       -1.23337 -1.488069 -2.285440    20  126   1 
SimICPResetDED                   -1.15558 -1.141800 -2.287882    20  124   1 
SimICPSIX                        -1.32186 -1.489290 -2.280350    20  126   1 
SimICPStpt                       -1.32186 -1.332540 -2.280350    20  126   1 
SimICPTHREE                      -1.41203 -1.491559 -2.277000    20  126   1 
SimICPTILS                       -1.41203 -1.334809 -2.277000    20  126   1 
SimICPZERO                       -1.14675 -1.408927 -2.287882    20  126   1 
SimINSInc                        -1.14238 -1.023380 -2.289804    35  126   1 
SimINSDec                        -1.14238 -1.023380 -2.289804    35  126   2 
SimInstrumentLightCW             -0.03302 -1.073524 -2.306403    55  124   1 w
SimInstrumentLightCCW            -0.03302 -1.073524 -2.306403    55  124   2 w
SimInteriorLightCW               -0.02978 -1.424985 -2.306403    55  124   1 w
SimInteriorLightCCW              -0.02978 -1.424985 -2.306403    55  124   2 w
SimDedBrightnessCW               0.07878 -1.155922 -2.306403    55  124   1 w
SimDedBrightnessCCW              0.07878 -1.155922 -2.306403    55  124   2 w
SimJfsStartCycle                 0.23182 -1.196250 -2.310000    66  126   1 
SimLandingLightInc               -1.19315 1.542941 -2.226645    35  115   1 
SimLandingLightDec               -1.19315 1.542941 -2.226645    35  115   2 
SimLEFLock                       -0.69749 1.230356 -2.352991    35  115   2 
SimLEFAuto                       -0.69749 1.230356 -2.352991    35  115   1 
SimLightsSteady                  -0.70182 1.468203 -2.368484    35  115   2 
SimLightsFlash                   -0.70182 1.468203 -2.368484    35  115   1 
SimExtlMasterOff                 -0.69749 1.325495 -2.352991    35  115   2 
SimExtlMasterNorm                -0.69749 1.325495 -2.352991    35  115   1 
SimMainPowerInc                  -1.70848 -0.989175 -1.771514    40  115   1 
