---- Created by LOD Exporter ----
SimSymWheelUp                                               -1.87367 0.668550 -0.896134    50  115   1
SimSymWheelDn                                               -1.87367 0.668550 -0.896134    50  115   2
SimHUDBrightness                                               -1.83104 0.668550 -1.129331    50  115   1
SimCBEOSB_GAINUP_R                                               -1.83104 0.422149 -1.129331    50  115   1
SimCBEOSB_GAINDOWN_R                                             -1.83104 0.422149 -1.129331    50  115   2
SimMFDOff                                                        -1.91006 0.392068 -0.697152    50  115   2
SimMFDOn                                                         -1.91006 0.392068 -0.697152    50  115   1
SimICPAA                                                         -1.83395 -0.558072 -1.113421    80  115   2
SimICPAG                                                         -1.83395 -0.558072 -1.113421    80  115   1
OTWStepHudColor                                                         -1.93968 -0.748611 -0.910053    50  125   1
SimCBEOSB_3R                                                     -2.00871 -0.028561 -0.678855    35    0   1
SimCBEOSB_2R                                                     -2.00871 0.050443 -0.678855    35    0   1
SimCBEOSB_1R                                                     -2.00871 0.130491 -0.678855    35    0   1
SimCBEOSB_4R                                                     -2.00871 -0.109429 -0.678855    35    0   1
SimCBEOSB_5R                                                     -2.00871 -0.189764 -0.678855    35    0   1
SimCBEOSB_19R                                                    -1.98170 0.190587 -0.827312    35    0   1
SimCBEOSB_20R                                                    -1.99406 0.190027 -0.753667    35    0   1
SimCBEOSB_17R                                                    -1.95764 0.191679 -0.970741    35    0   1
SimCBEOSB_16R                                                    -1.94571 0.192219 -1.041790    35    0   1
SimCBEOSB_18R                                                    -1.96947 0.191142 -0.900229    35    0   1
SimCBEOSB_13R                                                    -1.93667 -0.028561 -1.105680    35    0   1
SimCBEOSB_14R                                                    -1.93667 0.050443 -1.105680    35    0   1
SimCBEOSB_15R                                                    -1.93645 0.130491 -1.106944    35    0   1
SimCBEOSB_12R                                                    -1.93667 -0.109429 -1.105680    35    0   1
SimCBEOSB_11R                                                    -1.93667 -0.189764 -1.105680    35    0   1
SimCBEOSB_6R                                                     -2.00359 -0.241649 -0.758552    35    0   1
SimCBEOSB_9R                                                     -1.96717 -0.239997 -0.975625    35    0   1
SimCBEOSB_10R                                                    -1.95524 -0.239456 -1.046674    35    0   1
SimCBEOSB_8R                                                     -1.97900 -0.240534 -0.905113    35    0   1
SimCBEOSB_7R                                                     -1.99123 -0.241089 -0.832196    35    0   1
SimCATSwitch                                                     -2.26489 0.930572 -0.862992    30  129   1
SimDriftCO                                                       -2.33857 0.703358 -0.639438    30  124   1
SimWarnReset                                                     -2.16665 -1.237025 -1.471530    40  130   1
ExtinguishMasterCaution                                          -2.12424 -1.065204 -1.477605    50  127   1
SimRWRSetGroundPriority                                          -2.10692 -0.995551 -1.092857    40  126   1
SimRWRHandoff                                                    -2.10692 -1.343341 -1.092857    40  126   1
SimRwrPower                                                      -2.07180 -1.343341 -1.193469    40  126   1
SimRWRSetTargetSep                                               -2.07180 -1.171709 -1.193469    40  126   1
SimRWRSetSearch                                                  -2.07180 -1.082986 -1.193469    40  126   1
SimRWRSetPriority                                                -2.07180 -1.255362 -1.193469    40  126   1
SimEmergencyJettison                                             -1.86038 1.159395 -2.199878    50  123   1
SimStepMasterArm                                                 -1.54208 0.558204 -3.129066    40  129   1
SimLandingLightToggle                                            -1.33231 2.118379 -2.819748    40  121   1
AFIncFlap                                                        -1.39620 2.227073 -2.510063    40    0   1
AFDecFlap                                                        -1.37292 2.322692 -2.490278    40    0   1
AFGearToggle                                                     -1.37003 1.575752 -2.312601    50    0   1
SimHookToggle                                                    -1.40946 -1.600312 -2.151427    50    0   1
SimMainPowerInc                                                  -1.07176 -2.198557 -2.932403    60  129   1
SimMainPowerDec                                                  -1.07176 -2.198557 -2.932403    60  129   2
SimICPCom1                                                       -0.88969 -1.866446 -2.985577    40  122   1
SimICPCom2                                                       -0.89478 -2.101999 -2.942040    40  122   1
SimCycleRadioChannel                                             -0.42240 -1.768404 -3.010867    40  128   1
SimToggleAuxComAATR                                              0.09072 -2.252241 -2.940230    40  128   1
SimInstrumentLight                                               1.20213 -2.643018 -2.977718    40  128   1
SimInteriorLight                                                 1.52057 -2.647380 -2.977718    40  128   1
SimSMSPower                                                      1.56103 -1.888285 -3.209690    30  121   1
SimExtlPower                                                     2.17472 -2.920243 -2.946059    50  115   1
SimExtlSteady                                                    1.97980 -2.669145 -3.062026    30  121   1
SimExtlAntiColl                                                  2.11286 -2.680051 -3.062026    30  121   1
SimExtlWing                                                      2.25899 -2.686594 -3.085361    30  121   1
SimJfsStartCycle                                                      -0.05963 1.720199 -3.124017    30  123   1
SimRightAPInc                                                    0.60909 1.854201 -3.131630    30  121   1
SimRightAPInc                                                    0.60312 2.023829 -3.107630    30  121   1
SimRightAPInc                                                    0.59914 2.199083 -3.066297    30  121   1
SimLeftAPInc                                                     0.91450 1.777338 -3.186840    30  121   1
SimLeftAPInc                                                     0.91549 1.975664 -3.143615    30  121   1
SimIncFuelPump                                                   0.77279 2.822312 -2.926943    30  129   1
SimDecFuelPump                                                   0.77279 2.822312 -2.926943    30  129   2
SimIncFuelPump                                                   0.94314 2.858817 -2.926943    30  129   1
SimDecFuelPump                                                   0.94314 2.858817 -2.926943    30  129   2
SimDecFuelSwitch                                                 1.22090 2.569294 -3.023586    65  121   2
SimIncFuelSwitch                                                 1.22090 2.569294 -3.023586    65  121   1
SimFuelTransWing                                                 0.80606 2.524876 -3.000113    30  121   2
SimFuelTransNorm                                                 0.80606 2.524876 -3.000113    30  121   1
SimMasterFuelOff                                                 0.67673 2.480643 -2.993713    30  121   2
SimMasterFuelOn                                                  0.67673 2.480643 -2.993713    30  121   1
SimFuelDoorOpen                                                0.63097 2.806732 -2.924274    30  121   1
SimFuelDoorClose                                                0.63097 2.806732 -2.924274    30  121   2
SimBupUhfModeInc                                                 1.17435 1.757279 -3.215698    30  121   1
SimBupUhfModeDec                                                 1.17435 1.757279 -3.215698    30  121   2
SimBupUhfFuncInc                                                 1.13994 1.990891 -3.088956    30  125   1
SimBupUhfFuncDec                                                 1.13994 1.990891 -3.088956    30  125   2
SimFCROn                                                      -1.73696 1.434927 -2.679197    40  121   1
SimFCROff                                                      -1.73696 1.434927 -2.679197    40  121   2
SimRALTUp                                                        -1.73696 1.289960 -2.679197    40  121   1
SimRALTDown                                                       -1.73696 1.289960 -2.679197    40  121   2
SimLaserArmOn                                                    -1.70507 1.162282 -2.755413    40  121   1
SimLaserArmOff                                                    -1.70507 1.162282 -2.755413    40  121   2
SimDLOn                                                       -1.73696 1.047074 -2.665198    40  121   1
SimDLOff                                                       -1.73696 1.047074 -2.665198    40  121   2
SimStepHSIMode                                                   -1.66855 -0.710492 -2.696448    40  121   1
SimHsiCourseInc                                                  -1.68452 -0.275887 -2.690966    40  115   1
SimHsiHeadingInc                                                 -1.68452 0.245485 -2.690966    40  115   1
SimHsiCourseDec                                                  -1.68452 -0.276425 -2.690966    40  115   2
SimHsiHeadingDec                                                 -1.68452 0.244400 -2.690966    40  115   2
SimLaserArmOff                                                   -1.70507 1.162282 -2.755413    40  121   2
SimRightAPDec                                                    0.60909 1.854201 -3.131630    30  121   2
SimRightAPDec                                                    0.60312 2.023829 -3.107630    30  121   2
SimRightAPDec                                                    0.59914 2.199083 -3.066297    30  121   2
SimAltFlapsExtend                                                -1.39620 2.227073 -2.510063    40    0   2
SimLeftAPDec                                                     0.91450 1.777338 -3.186840    30  121   2
SimLeftAPDec                                                     0.91549 1.975664 -3.143615    30  121   2
SimAltFlapsNorm                                                  -1.37292 2.322692 -2.490278    40    0   2
AFCanopyToggle                                                   1.75805 2.894746 -2.189226    60    0   1
AFCanopyToggle                                                   1.25889 2.894745 -2.336101    60    0   1
SimRFSwitchUp                                                    -2.07315 1.392675 -1.660167    40  128   2
SimRFSwitchDown                                                  -2.07315 1.392675 -1.660167    40  128   1
SimAuxComUFC                                                     -1.74025 -0.531002 -2.691091    30  121   1
SimAuxComBackup                                                  -1.74025 -0.531002 -2.691091    30  121   2
SimStepThreatVolumeUp                                            -0.74807 -1.948022 -3.003999    30  115   1
SimStepThreatVolumeDown                                          -0.74807 -1.948022 -3.003999    30  115   2
SimStepMissileVolumeDown                                         -0.75105 -2.036073 -2.980406    30  115   2
SimStepMissileVolumeUp                                           -0.75105 -2.036073 -2.980406    30  115   1
SimStepComm2VolumeUp                                             -0.75099 -2.134102 -2.954139    30  115   1
SimStepComm2VolumeDown                                           -0.75099 -2.134102 -2.954139    30  115   2
SimStepComm1VolumeDown                                           -0.75701 -2.227119 -2.929216    30  115   2
SimStepComm1VolumeUp                                             -0.75701 -2.227119 -2.929216    30  115   1
SimDecRadioChannel                                               -0.42240 -1.768404 -3.010867    40  128   2
SimCycleLeftAuxComDigit                                          -0.41572 -1.969739 -3.013136    40  115   1
SimCycleCenterAuxComDigit                                        -0.41710 -2.065541 -2.987466    40  115   1
SimCycleRightAuxComDigit                                         -0.41848 -2.151625 -2.964400    40  115   1
SimCycleBandAuxComDigit                                          -0.42131 -2.239098 -2.940961    40  115   1
SimLeftHptOn                                                     1.27460 -1.829337 -3.204214    40  129   1
SimLeftHptOff                                                    1.27460 -1.829337 -3.204214    40  129   2
SimGPSOff                                                        1.27467 -1.957036 -3.174506    40  129   2
SimGPSOn                                                         1.27467 -1.957036 -3.174506    40  129   1
SimFCCOn                                                         1.27187 -2.081834 -3.145472    40  129   1
SimFCCOff                                                        1.27187 -2.081834 -3.145472    40  129   2
SimUFCOff                                                        1.26908 -2.224046 -3.112388    40  129   2
SimUFCOn                                                         1.26908 -2.224046 -3.112388    40  129   1
SimRightHptOn                                                    1.27060 -2.357549 -3.081329    40  129   1
SimRightHptOff                                                   1.27060 -2.357549 -3.081329    40  129   2
SimEWSRWROn                                                      1.88873 -2.015929 -3.213665    20  121   1
SimEWSRWROff                                                     1.88873 -2.015929 -3.213665    20  121   2
SimEWSPGMInc                                                     2.00298 -2.100176 -3.159545    40  124   1
SimEWSPGMDec                                                     2.00298 -2.100176 -3.159545    40  124   2
SimEWSProgDec                                                    2.00452 -2.330673 -3.104596    40  124   2
SimEWSProgInc                                                    2.00452 -2.330673 -3.104596    40  124   1
SimINSInc                                                        1.54612 -2.143875 -3.070181    40  115   1
SimINSDec                                                        1.54612 -2.143875 -3.070181    40  115   2
SimEWSChaffOn                                                    1.95360 -1.812639 -3.267693    20  121   1
SimEWSChaffOff                                                   1.95360 -1.812639 -3.267693    20  121   2
SimEWSFlareOff                                                   1.92586 -2.430912 -3.121000    20  121   2
SimEWSFlareOn                                                    1.92586 -2.430912 -3.121000    20  121   1
SimAirSourceNorm                                                     -0.72188 1.688177 -3.074846    30  129   1
SimAirSourceOff                                                    -0.72188 1.688177 -3.074846    30  129   2
SimAirSourceOff                                                    -0.72188 1.918468 -3.017781    30  129   2
SimAirSourceNorm                                                     -0.72188 1.918468 -3.017781    30  129   1
SimAirSourceOff                                                    -0.72188 2.136251 -2.963815    30  129   2
SimAirSourceNorm                                                     -0.72188 2.136251 -2.963815    30  129   1
SimParkingBrakeToggle                                            -1.48773 1.580549 -2.754604    50  117   1
SimAud1Com1Sql                                                   -0.59585 -1.881030 -3.038503    30  129   1
SimAud1Com1Gd                                                    -0.59585 -1.881030 -3.038503    30  129   2
SimMalIndLights                                                  1.58432 -2.935425 -2.971230    30  121   1
SimMalIndLightsOFF                                               1.58432 -2.935425 -2.971230    30  121   2
SimThrottleIdleDetent                                            -0.06741 2.292931 -2.643502    30  127   1
SimICPTILS                                                       -0.36577 -1.871670 -3.049091    30  126   1
SimICPEnter                                                      -0.18175 -1.771619 -3.065950    30  128   1

SimCMSDown                                                    -1.32989 0.561491 -3.437910    40  121   1
SimCMSRight                                                   -1.32989 0.561491 -3.437910    40  121   2
SimEcmPowerOn                                                          -1.32989 0.316558 -3.437910    40  121   1
SimEcmPowerOff                                                          -1.32989 0.316558 -3.437910    40  121   2
SimSeatOn                                                        0.27748 -1.457782 -2.666922    40  118   1
